iter,C0,C1,C2,C3,estabilidad
144,-5.710844528350576e-23,-5.1465382402134445e-81,5.268256434532245e-74,6.714252583069509e-43,1.0
145,-4.040030027611106e-23,-1.448050021321303e-81,1.6627296901021927e-74,3.4651714334236527e-43,1.0
146,-2.8580435945983493e-23,-4.0742898748220757e-82,5.247789390481334e-75,1.7883469402525791e-43,1.0
147,-2.021869424929667e-23,-1.1463580497675641e-82,1.6562700269793022e-75,9.229513864342628e-44,1.0
148,-1.4303336657255983e-23,-3.22543760665601e-83,5.227401860382979e-76,4.763277429829232e-44,1.0
149,-1.0118627692187367e-23,-9.075216732276844e-84,1.6498354594855508e-76,2.4582889420835806e-44,1.0
150,-7.158233692357441e-24,-2.553438285950424e-84,5.207093535327467e-77,1.268703033110348e-44,1.0
151,-5.063958389729478e-24,-7.184453300127029e-85,1.6434258901250489e-77,6.547673703723111e-45,1.0
152,-3.5824025416060796e-24,-2.0214457308684803e-85,5.186864107605196e-78,3.379201421574772e-45,1.0
153,-2.534303598571094e-24,-5.687618350548894e-86,1.637041221780676e-78,1.7439785127166515e-45,1.0
154,-1.7928456266812897e-24,-1.6002904261794013e-86,5.1667132707020056e-79,9.000531999658088e-46,1.0
155,-1.2683150680615099e-24,-4.502639400680432e-87,1.6306813577126096e-79,4.645101742146925e-46,1.0
156,-8.972457460543166e-25,-1.2668801388109437e-87,5.146640719294536e-80,2.397299425824614e-46,1.0
157,-6.347397023698566e-25,-3.564543245171028e-88,1.6243462015568584e-80,1.2372268372323727e-46,1.0
158,-4.49034717117716e-25,-1.0029337549343737e-88,5.126646149245601e-81,6.385227603520929e-47,1.0
159,-3.1766120257512762e-25,-2.8218934309450356e-89,1.6180356573238033e-81,3.295364303604102e-47,1.0
160,-2.2472346964438102e-25,-7.939789140043256e-90,5.106729257599578e-82,1.700710854454125e-47,1.0
161,-1.589764107156445e-25,-2.233969961340355e-90,1.6117496293967418e-82,8.777231116130854e-48,1.0
162,-1.1246488497184535e-25,-6.285584793431729e-91,5.086889742577822e-83,4.529857962875355e-48,1.0
163,-7.95611769997378e-26,-1.7685365908732058e-91,1.6054880225304408e-83,2.3378230437744972e-48,1.0
164,-5.628406490762219e-26,-4.976023355099446e-92,5.067127303574089e-84,1.2065315576768877e-48,1.0
165,-3.9817107815484777e-26,-1.4000732898757624e-92,1.5992507418496919e-84,6.226811749275551e-49,1.0
166,-2.816786735982955e-26,-3.93930067674364e-93,5.047441641149984e-85,3.213607162963209e-49,1.0
167,-1.9926830328253738e-26,-1.1083769638352234e-93,1.5930376928478742e-85,1.6585166556624994e-49,1.0
168,-1.4096862991384653e-26,-3.118572545663378e-94,5.0278324570304206e-86,8.559470270079843e-50,1.0
169,-9.972561763428484e-27,-8.774537039197433e-95,1.5868487813855238e-86,4.417473352121084e-50,1.0
170,-7.054902086100734e-27,-2.468837877743515e-95,5.008299454099105e-87,2.279822255462762e-50,1.0
171,-4.990858379738669e-27,-6.946418300307956e-96,1.5806839136889052e-87,1.1765978201108225e-50,1.0
172,-3.530689308315375e-27,-1.954471277269758e-96,4.9888423363940334e-88,6.072326151621568e-51,1.0
173,-2.4977200399954507e-27,-5.499176422334269e-97,1.574542996348592e-88,3.133878395949616e-51,1.0
174,-1.7669652731838788e-27,-1.547269672143831e-97,4.969460809103005e-89,1.6173692840884485e-51,1.0
175,-1.2500064965821655e-27,-4.353458144410402e-98,1.5684259363180506e-89,8.347112014600443e-52,1.0
176,-8.842936899841473e-28,-1.2249059201731362e-98,4.950154578559158e-90,4.307876974648717e-52,1.0
177,-6.255770128266517e-28,-3.446442950649751e-99,1.5623326409122314e-90,2.2232604517883544e-52,1.0
178,-4.42552743969181e-28,-9.697045966113425e-100,4.930923352236519e-91,1.1474067308733258e-52,1.0
179,-3.1307565204433537e-28,-2.728398578342602e-100,1.5562630178061638e-91,5.921673301904003e-53,1.0
180,-2.214795077845264e-28,-7.67672838544412e-101,4.9117668387455714e-92,3.056127679135427e-53,1.0
181,-1.5668153064017115e-28,-2.1599541640167e-101,1.5502169750335573e-92,1.5772427682179996e-53,1.0
182,-1.1084141503344087e-28,-6.07733106657671e-102,4.892684747828839e-93,8.140022312810383e-54,1.0
183,-7.841268359083521e-29,-1.7099415120964968e-102,1.544194420985408e-93,4.200999655107801e-54,1.0
184,-5.547158475071271e-29,-4.811157961874625e-103,4.873676790356487e-94,2.1681019319126002e-54,1.0
185,-3.9242333941943424e-29,-1.353686121446903e-103,1.5381952644086105e-94,1.1189398650504118e-54,1.0
186,-2.7761254345473145e-29,-3.808783935009183e-104,4.8547426783219453e-95,5.774758110632526e-55,1.0
187,-1.963917956496255e-29,-1.0716542656194361e-104,1.532219414404576e-95,2.9803059376040477e-55,1.0
188,-1.3893369845074593e-29,-3.015248133306265e-105,4.835882124837541e-96,1.538111780883762e-55,1.0
189,-9.828604347423823e-30,-8.483819452864054e-106,1.5262667804278545e-96,7.93807045324797e-56,1.0
190,-6.953062107710688e-30,-2.3870404466471774e-106,4.817094844130152e-97,4.096773934370537e-56,1.0
191,-4.918813593951814e-30,-6.716269865934005e-107,1.520337272284762e-97,2.1143118807254507e-56,1.0
192,-3.4797225736289784e-30,-1.8897158184065122e-107,4.798380551536881e-98,1.0911792548454715e-56,1.0
193,-2.4616645778794474e-30,-5.31697794403499e-108,1.5144308001320152e-98,5.631487847462608e-57,1.0
194,-1.741458511638381e-30,-1.4960055994659142e-108,4.779738963500732e-99,2.906365313974943e-57,1.0
195,-1.2319622157337968e-30,-4.2092195551500695e-109,1.50854727447537e-99,1.499951623278852e-57,1.0
196,-8.715286013720935e-31,-1.184322389554093e-109,4.761169797566327e-100,7.741128967369243e-58,1.0
197,-6.165465899107771e-31,-3.332255550041295e-110,1.502686606168264e-100,3.995134026952728e-58,1.0
198,-4.361643403694953e-31,-9.375763853423164e-111,4.7426727723756184e-101,2.0618563468707793e-58,1.0
199,-3.085562955388128e-31,-2.6380013932024815e-111,1.4968487064104687e-101,1.0641073782383068e-58,1.0
200,-2.1828237364838415e-31,-7.422383348528376e-112,4.724247607663627e-102,5.491772082665698e-59,1.0
201,-1.5441977796100203e-31,-2.088390654928009e-112,1.491033486746741e-102,2.8342591381968697e-59,1.0
202,-1.0924138045125058e-31,-5.875977193303229e-113,4.705894024254196e-103,1.4627382093674296e-59,1.0
203,-7.728076908586584e-32,-1.6532878029666297e-113,1.4852408590654849e-103,7.549073549092024e-60,1.0
204,-5.467083302895544e-32,-4.651754881815061e-114,4.6876117440557606e-104,3.8960157794911155e-60,1.0
205,-3.867585713023883e-32,-1.3088358507007635e-114,1.4794707355974146e-104,2.0107022213168704e-60,1.0
206,-2.7360510932152985e-32,-3.6825914683861815e-115,4.669400490057136e-105,1.0377071479255328e-60,1.0
207,-1.9355681141017812e-32,-1.0361482622721361e-115,1.4737230289142275e-105,5.3555226300515586e-61,1.0
208,-1.3692814193483783e-32,-2.915347060965336e-116,4.651259986323318e-106,2.7639418980905577e-61,1.0
209,-9.686725007054526e-33,-8.202733909181582e-117,1.4679976519272764e-106,1.4264480506820097e-61,1.0
210,-6.852692225017494e-33,-2.307953124543527e-117,4.6331899579913036e-107,7.361782976336062e-62,1.0
211,-4.847808799838565e-33,-6.493746699655761e-118,1.4622945178862514e-107,3.799356630250886e-62,1.0
212,-3.42949156157852e-33,-1.8271058346399618e-118,4.615190131265924e-108,1.9608172164585706e-62,1.0
213,-2.426129588966037e-33,-5.14081605793518e-119,1.4566135403778662e-108,1.0119619005353675e-62,1.0
214,-1.716319949114342e-33,-1.4464400058539542e-119,4.5972602334157e-109,5.222653491306645e-63,1.0
215,-1.2141784103887352e-33,-4.069759872667218e-120,1.4509546333245474e-109,2.695369210622194e-63,1.0
216,-8.589477812775232e-34,-1.1450834707377861e-120,4.5793999927687064e-110,1.3910582414979423e-63,1.0
217,-6.076465243072197e-34,-3.221851401511697e-121,1.4453177109831307e-110,7.179139034509731e-64,1.0
218,-4.2986815560950394e-34,-9.065126445965342e-122,4.5616091387084556e-111,3.705095569637769e-64,1.0
219,-3.041021775246599e-34,-2.550599243738644e-122,1.4397026879435623e-111,1.912169845737902e-64,1.0
220,-2.1513139126138883e-34,-7.176465260510072e-123,4.543887401669801e-112,9.868553861099948e-65,1.0
221,-1.5219067447258828e-34,-2.0191981849652423e-123,1.434109479127604e-112,5.093080801713446e-65,1.0
222,-1.0766444292771319e-34,-5.681294567957181e-124,4.5262345131348466e-113,2.628497793889617e-65,1.0
223,-7.616519416255448e-35,-1.5985111421073996e-124,1.4285379997875443e-113,1.3565464443757134e-65,1.0
224,-5.388164043828801e-35,-4.4976331377943106e-125,4.508650205628884e-114,7.00102644189501e-66,1.0
225,-3.811755760938224e-35,-1.265471557208976e-125,1.4229881655049146e-114,3.6131731016898325e-66,1.0
226,-2.696555239012576e-35,-3.560580005176376e-126,4.491134212716336e-115,1.8647294037702907e-66,1.0
227,-1.907627511594916e-35,-1.0018186423109184e-126,1.4174598921892102e-115,9.623717578488718e-67,1.0
228,-1.349515363284883e-35,-2.8187559066854215e-127,4.4736862689967217e-116,4.966722777216515e-67,1.0
229,-9.546893744572182e-36,-7.93096127972439e-128,1.4119530960766154e-116,2.5632854398035214e-67,1.0
230,-6.753771216675738e-36,-2.2314861202171952e-128,4.4563061101006334e-117,1.3228908760619371e-67,1.0
231,-4.777828984755473e-36,-6.278596161416432e-129,1.4064676937287349e-117,6.827332776883646e-68,1.0
232,-3.3799856517505e-36,-1.7665702421808587e-129,4.438993472685733e-118,3.5235312065246547e-68,1.0
233,-2.3911075600425538e-36,-4.970490759919972e-130,1.4010036020313296e-118,1.8184659469638558e-68,1.0
234,-1.691544270530145e-36,-1.3985166173720977e-130,4.4217480944327606e-119,9.384955621065008e-69,1.0
235,-1.196651320492014e-36,-3.9349207624266556e-131,1.3955607381930576e-119,4.843499662801788e-69,1.0
236,-8.465485697199563e-37,-1.1071446141034099e-131,4.40456971404156e-120,2.499690987446443e-69,1.0
237,-5.98874934262596e-37,-3.1151051585147034e-132,1.3901390197442185e-120,1.2900702937401402e-69,1.0
238,-4.236628584780113e-37,-8.764781063820946e-133,4.387458071227119e-121,6.657948407018567e-70,1.0
239,-2.99712356261443e-37,-2.4660928985570113e-133,1.384738364535505e-121,3.436113303718174e-70,1.0
240,-2.1202589440690445e-37,-6.9386949200783385e-134,4.3704129067156274e-122,1.7733502746195275e-70,1.0
241,-1.499937488724455e-37,-1.952298196961371e-134,1.379358690736758e-122,9.152117286383536e-71,1.0
242,-1.0611026904871112e-37,-5.493062159037233e-135,4.353433962240545e-123,4.723333682156579e-71,1.0
243,-7.506572295332676e-38,-1.5455493392356916e-135,1.3739999168357258e-123,2.4376742970926885e-71,1.0
244,-5.310384011861151e-38,-4.348617748812355e-136,4.336520980538693e-124,1.2580639816226614e-71,1.0
245,-3.7567317337321085e-38,-1.22354400763663e-136,1.3686619616368306e-124,6.49276641979576e-72,1.0
246,-2.6576295212751673e-38,-3.442611020553291e-137,4.319673705346352e-125,3.3508642165920905e-72,1.0
247,-1.8800902414547908e-38,-9.686264298516896e-138,1.363344744259937e-125,1.729353910500068e-72,1.0
248,-1.3300346371519522e-38,-2.725365006402722e-138,4.302891881395383e-126,8.925055610887915e-73,1.0
249,-9.40908099525638e-39,-7.668193009416211e-139,1.3580481841391268e-126,4.606148988578513e-73,1.0
